Time,Left Found,Left Calibrated,Left Pupil Diameter (mm),Left Pupil Pos X,Left Pupil Pos Y,Left Glint1 Pos X,Left Glint1 Pos Y,Left Glint2 Pos X,Left Glint2 Pos Y,Left Gaze Point X (% Display Width),Left Gaze Point Y (% Display Height),Right Found,Right Calibrated,Right Pupil Diameter (mm),Right Pupil Pos X,Right Pupil Pos Y,Right Glint1 Pos X,Right Glint1 Pos Y,Right Glint2 Pos X,Right Glint2 Pos Y,Right Gaze Point X (% Display Width),Right Gaze Point Y (% Display Height),Weighted Gaze Point Valid,Weighted Gaze Point X (% Display Width),Weighted Gaze Point Y (% Display Height),ROI X,ROI Y,ROI Width,ROI Height,Image Width,Image Height,Image Scale Factor,Gain,Distance
252481547.766,true,true,3.805,1263.875,920.500,1259.000,927.182,1268.385,927.615,44.899,66.714,true,true,3.574,832.000,939.000,825.053,946.579,834.482,946.889,43.473,72.135,true,44.186,69.424,0,0,2048,1080,2048,1080,0.000,22,68.539
252481564.401,true,true,3.983,1264.688,920.563,1259.889,927.722,1268.720,927.880,44.816,66.290,true,true,3.682,832.500,939.125,825.667,946.667,834.952,946.333,43.412,71.841,true,44.114,69.065,0,0,2048,1080,2048,1080,0.000,22,68.591
252481581.036,true,true,3.959,1265.000,920.750,1260.467,927.867,1269.500,927.786,44.755,65.921,true,true,3.583,832.938,938.813,825.833,946.000,835.500,946.786,43.359,71.696,true,44.057,68.808,0,0,2048,1080,2048,1080,0.000,22,68.601
252481597.671,true,true,4.036,1265.938,920.938,1261.357,927.786,1269.933,927.400,44.725,65.855,true,true,3.668,833.500,938.375,826.727,945.818,836.238,946.619,43.337,71.638,true,44.031,68.746,0,0,2048,1080,2048,1080,0.000,22,68.622
252481614.307,true,true,3.998,1266.625,921.000,1261.833,928.000,1270.679,927.964,44.688,65.819,true,true,3.686,834.625,938.375,827.700,946.000,836.952,946.333,43.316,71.585,true,44.002,68.702,0,0,2048,1080,2048,1080,0.000,22,68.662
252481630.942,true,true,3.962,1267.063,920.938,1262.500,928.000,1271.414,927.897,44.653,65.787,true,true,3.680,835.313,938.438,828.235,946.235,837.636,946.364,43.297,71.535,true,43.975,68.661,0,0,2048,1080,2048,1080,0.000,22,68.682
252481647.577,true,true,4.007,1268.000,921.000,1263.308,927.923,1272.088,928.206,44.609,65.756,true,true,3.681,835.813,938.438,828.722,946.111,838.313,946.125,43.278,71.490,true,43.943,68.623,0,0,2048,1080,2048,1080,0.000,22,68.680
252481664.212,true,true,4.040,1268.563,921.188,1263.533,927.867,1272.444,927.611,44.572,65.730,true,true,3.504,836.438,938.063,828.296,946.222,838.688,945.563,43.258,71.501,true,43.915,68.616,0,0,2048,1080,2048,1080,0.000,22,68.637
252481680.847,true,true,3.998,1269.250,921.125,1264.385,927.615,1273.393,927.964,44.540,65.714,true,true,3.714,837.000,937.875,829.750,945.667,839.263,945.526,43.234,71.485,true,43.887,68.600,0,0,2048,1080,2048,1080,0.000,22,68.623
252481697.482,true,true,4.078,1269.625,921.125,1264.818,927.818,1273.444,927.611,44.486,65.732,true,true,3.818,837.500,937.625,830.700,945.000,839.654,945.654,43.192,71.432,true,43.839,68.582,0,0,2048,1080,2048,1080,0.000,22,68.698
252481714.117,true,true,4.032,1270.063,921.188,1265.333,927.750,1274.276,927.966,44.426,65.811,true,true,3.802,837.688,937.688,830.727,944.818,840.043,945.609,43.145,71.408,true,43.786,68.609,0,0,2048,1080,2048,1080,0.000,22,68.728
252481730.752,true,true,4.037,1270.438,921.188,1265.500,927.714,1274.414,927.897,44.334,66.037,true,true,3.734,838.063,937.688,830.833,944.750,840.478,945.609,43.074,71.412,true,43.704,68.725,0,0,2048,1080,2048,1080,0.000,22,68.719
252481747.387,true,true,4.022,1270.750,921.125,1265.533,927.667,1274.444,927.611,44.195,66.324,true,true,3.731,838.500,937.500,831.333,945.333,840.727,945.500,42.982,71.417,true,43.589,68.871,0,0,2048,1080,2048,1080,0.000,22,68.711
252481764.022,true,true,3.951,1271.000,921.000,1265.938,927.688,1275.000,927.929,44.061,66.583,true,true,3.692,838.500,937.500,831.500,944.917,841.095,945.429,42.898,71.422,true,43.480,69.002,0,0,2048,1080,2048,1080,0.000,22,68.685
252481780.657,true,true,3.986,1271.250,921.125,1266.333,927.750,1275.414,927.862,43.951,66.811,true,true,3.765,838.625,937.375,831.842,945.158,841.087,945.217,42.844,71.383,true,43.398,69.097,0,0,2048,1080,2048,1080,0.000,22,68.669
252481797.292,true,true,4.056,1271.250,921.250,1266.455,927.636,1275.385,927.615,43.848,67.026,true,true,3.648,838.813,936.938,831.647,945.000,841.208,945.208,42.798,71.159,true,43.323,69.092,0,0,2048,1080,2048,1080,0.000,22,68.686
252481813.927,true,true,3.975,1271.313,920.688,1266.111,927.667,1275.320,927.760,43.758,67.212,true,true,3.719,838.688,937.063,831.533,944.867,841.313,945.125,42.762,71.143,true,43.260,69.177,0,0,2048,1080,2048,1080,0.000,22,68.620
252481830.562,true,true,3.950,1271.125,920.375,1266.235,927.235,1275.500,927.500,43.670,67.394,true,true,3.787,838.813,936.938,831.533,944.867,840.950,945.100,42.722,70.943,true,43.196,69.169,0,0,2048,1080,2048,1080,0.000,22,68.581
252481847.197,true,true,4.022,1271.188,920.188,1266.235,927.235,1275.238,927.381,43.597,67.513,true,true,3.732,838.438,936.938,831.533,944.867,840.842,945.158,42.705,70.747,true,43.151,69.130,0,0,2048,1080,2048,1080,0.000,22,68.570
252481863.832,true,true,3.950,1270.813,920.188,1265.769,926.692,1274.913,927.217,43.531,67.621,true,true,3.720,838.125,937.375,831.067,944.800,840.518,945.111,42.689,70.568,true,43.110,69.095,0,0,2048,1080,2048,1080,0.000,22,68.544
252481880.467,true,true,4.084,1270.500,920.375,1265.412,927.118,1274.364,927.364,43.470,67.687,true,true,3.736,837.625,937.500,830.769,944.692,840.136,945.318,42.674,70.404,true,43.072,69.045,0,0,2048,1080,2048,1080,0.000,22,68.583
252481897.102,true,true,3.994,1269.938,920.188,1265.111,927.278,1274.238,927.381,43.414,67.716,true,true,3.714,837.375,937.375,830.308,945.000,839.609,945.478,42.646,70.254,true,43.030,68.985,0,0,2048,1080,2048,1080,0.000,22,68.560
252481913.737,true,true,4.085,1269.688,920.563,1264.769,926.692,1273.615,927.385,43.392,67.727,true,true,3.751,836.938,937.813,829.900,945.000,839.478,945.609,42.641,70.263,true,43.017,68.995,0,0,2048,1080,2048,1080,0.000,22,68.549
252481930.372,true,true,4.066,1269.375,920.500,1264.500,927.000,1273.364,927.364,43.342,67.783,true,true,3.693,836.438,937.438,829.500,945.500,839.000,945.708,42.630,70.125,true,42.986,68.954,0,0,2048,1080,2048,1080,0.000,22,68.527
252481947.008,true,true,4.070,1269.000,920.250,1264.313,927.125,1273.000,927.292,43.319,67.786,true,true,3.683,836.125,937.500,828.900,945.000,838.560,945.600,42.624,70.147,true,42.972,68.966,0,0,2048,1080,2048,1080,0.000,22,68.537
252481963.643,true,true,4.063,1268.438,920.563,1263.500,927.000,1272.640,927.240,43.292,67.825,true,true,3.730,835.438,937.563,828.700,945.000,838.000,945.708,42.624,70.174,true,42.958,69.000,0,0,2048,1080,2048,1080,0.000,22,68.536
252481980.278,true,true,3.994,1268.063,920.438,1263.111,927.278,1272.238,927.381,43.278,67.849,true,true,3.762,834.875,937.875,827.750,945.667,837.393,945.821,42.623,70.174,true,42.951,69.012,0,0,2048,1080,2048,1080,0.000,22,68.515
252481996.913,true,true,4.034,1267.313,920.813,1262.636,926.909,1271.727,927.500,43.261,67.891,true,true,3.772,834.438,937.813,827.533,945.867,836.647,946.000,42.618,70.119,true,42.939,69.005,0,0,2048,1080,2048,1080,0.000,22,68.520
252482013.548,true,true,4.056,1266.375,921.250,1261.385,927.615,1270.500,927.786,43.221,68.136,true,true,3.720,833.500,938.500,826.636,945.909,836.095,946.429,42.616,70.123,true,42.919,69.129,0,0,2048,1080,2048,1080,0.000,22,68.510
252482030.183,true,true,4.047,1264.688,922.063,1260.412,928.118,1269.478,928.391,43.179,68.517,true,true,3.803,832.063,939.813,825.588,947.118,835.087,947.217,42.635,70.127,true,42.907,69.322,0,0,2048,1080,2048,1080,0.000,22,68.488
252482046.818,true,true,3.952,1264.313,922.313,1259.727,927.818,1269.238,928.381,43.139,69.022,true,true,3.692,831.438,939.813,825.000,947.353,834.522,947.391,42.669,70.189,true,42.904,69.606,0,0,2048,1080,2048,1080,0.000,22,68.479
252482063.453,true,true,4.073,1263.625,922.250,1259.500,928.222,1268.364,928.364,43.189,69.513,true,true,3.706,830.500,939.875,824.235,947.235,833.762,947.381,42.707,70.247,true,42.948,69.880,0,0,2048,1080,2048,1080,0.000,22,68.461
252482080.088,true,true,3.969,1263.125,922.125,1258.769,927.692,1267.913,928.217,43.379,70.252,true,true,3.775,830.125,940.000,823.722,947.111,833.087,947.217,42.926,70.486,true,43.153,70.369,0,0,2048,1080,2048,1080,0.000,22,68.472
252482096.723,true,true,4.137,1262.500,921.875,1258.375,928.250,1267.087,928.217,43.567,70.871,true,true,3.767,829.313,939.813,822.889,947.278,832.400,947.440,43.120,70.693,true,43.343,70.782,0,0,2048,1080,2048,1080,0.000,22,68.464
252482113.358,true,true,3.962,1262.125,921.875,1257.533,928.133,1266.913,928.217,43.728,71.405,true,true,3.759,828.688,939.813,822.211,947.368,831.762,947.381,43.301,70.883,true,43.515,71.144,0,0,2048,1080,2048,1080,0.000,22,68.415
252482129.993,true,true,4.036,1261.500,922.125,1256.769,927.692,1266.150,928.300,43.895,72.081,true,true,3.785,828.000,939.875,821.619,947.238,831.105,947.579,43.498,71.080,true,43.697,71.581,0,0,2048,1080,2048,1080,0.000,22,68.380
252482146.628,true,true,4.120,1261.063,922.313,1256.412,928.118,1265.500,928.500,44.031,72.934,true,true,3.758,827.250,939.875,820.727,946.818,830.364,947.636,43.699,71.281,true,43.865,72.107,0,0,2048,1080,2048,1080,0.000,22,68.358
252482163.263,true,true,4.070,1260.500,922.000,1255.833,927.750,1265.048,928.381,44.121,73.633,true,true,3.892,826.875,940.125,820.478,947.609,829.654,947.654,43.858,71.446,true,43.990,72.539,0,0,2048,1080,2048,1080,0.000,22,68.407
252482179.898,true,true,4.063,1259.875,921.875,1255.412,928.118,1264.500,928.500,44.194,74.218,true,true,3.860,826.063,940.313,819.737,947.263,829.158,947.316,43.992,71.584,true,44.093,72.901,0,0,2048,1080,2048,1080,0.000,22,68.408
252482196.533,true,true,4.079,1259.375,922.500,1254.833,927.750,1264.000,928.500,44.228,74.717,true,true,3.918,825.688,940.438,819.111,947.722,828.438,947.625,44.105,71.702,true,44.166,73.209,0,0,2048,1080,2048,1080,0.000,22,68.355
252482213.168,true,true,4.110,1258.938,922.188,1254.308,928.000,1263.591,928.409,44.252,75.177,true,true,3.875,824.938,940.438,818.500,948.000,827.842,948.158,44.204,71.807,true,44.228,73.492,0,0,2048,1080,2048,1080,0.000,22,68.333
252482229.803,true,true,4.129,1258.250,922.375,1253.727,927.818,1263.000,928.500,44.276,75.710,true,true,3.912,824.313,940.688,817.842,948.158,827.360,948.240,44.295,71.933,true,44.285,73.822,0,0,2048,1080,2048,1080,0.000,22,68.320
252482246.438,true,true,4.200,1257.875,922.250,1253.500,928.222,1262.476,928.381,44.298,76.043,true,true,3.904,823.875,941.125,817.467,948.133,826.952,948.238,44.362,72.114,true,44.330,74.078,0,0,2048,1080,2048,1080,0.000,22,68.313
252482263.073,true,true,4.158,1257.250,922.000,1252.769,927.692,1261.913,928.217,44.343,76.406,true,true,3.914,823.188,941.063,816.722,948.111,826.238,948.381,44.425,72.290,true,44.384,74.348,0,0,2048,1080,2048,1080,0.000,22,68.313
252482279.708,true,true,4.257,1256.813,922.063,1252.412,928.118,1261.364,928.364,44.382,76.727,true,true,3.916,822.563,941.313,815.833,947.750,825.500,948.500,44.481,72.588,true,44.432,74.657,0,0,2048,1080,2048,1080,0.000,22,68.292
252482296.344,true,true,4.263,1256.000,922.000,1251.875,928.313,1260.913,928.217,44.417,77.012,true,true,3.896,821.875,941.125,815.500,948.273,825.000,948.500,44.531,72.795,true,44.474,74.904,0,0,2048,1080,2048,1080,0.000,22,68.288
252482312.979,true,true,4.349,1255.688,922.188,1251.467,928.133,1260.208,928.208,44.450,77.114,true,true,3.916,821.375,941.375,814.727,947.818,824.478,948.609,44.573,73.022,true,44.511,75.068,0,0,2048,1080,2048,1080,0.000,22,68.317
252482329.614,true,true,4.231,1255.063,921.938,1250.643,928.214,1259.704,927.852,44.483,77.207,true,true,4.039,820.625,941.375,814.476,948.381,823.654,948.654,44.613,73.227,true,44.548,75.217,0,0,2048,1080,2048,1080,0.000,22,68.340
252482346.249,true,true,4.279,1254.750,921.875,1250.467,928.133,1259.414,927.897,44.524,77.242,true,true,4.073,820.375,941.500,813.762,948.333,822.952,948.333,44.657,73.527,true,44.590,75.384,0,0,2048,1080,2048,1080,0.000,22,68.349
252482362.884,true,true,4.327,1254.313,922.188,1249.833,928.000,1258.808,927.846,44.558,77.272,true,true,3.973,819.500,941.500,812.952,948.333,822.654,948.654,44.696,73.795,true,44.627,75.534,0,0,2048,1080,2048,1080,0.000,22,68.346
252482379.519,true,true,4.345,1253.688,922.188,1249.500,928.000,1258.414,927.897,44.603,77.300,true,true,3.997,819.313,941.313,812.762,948.333,822.050,948.350,44.720,74.038,true,44.662,75.669,0,0,2048,1080,2048,1080,0.000,22,68.355
252482396.154,true,true,4.356,1253.250,922.250,1249.000,928.000,1257.964,927.857,44.654,77.399,true,true,4.027,818.625,941.500,812.050,948.350,821.444,948.389,44.743,74.259,true,44.698,75.829,0,0,2048,1080,2048,1080,0.000,22,68.358
252482412.789,true,true,4.319,1252.875,921.750,1248.500,928.000,1257.412,927.471,44.702,77.530,true,true,4.029,818.313,941.688,811.688,948.875,821.389,948.667,44.768,74.602,true,44.735,76.066,0,0,2048,1080,2048,1080,0.000,22,68.350
252482429.424,true,true,4.287,1252.625,922.000,1248.056,927.389,1257.320,927.760,44.725,77.756,true,true,4.042,817.750,941.500,811.353,948.529,820.706,948.412,44.786,74.796,true,44.755,76.276,0,0,2048,1080,2048,1080,0.000,22,68.336
252482446.059,true,true,4.337,1252.313,921.938,1247.762,927.333,1256.864,927.682,44.742,78.077,true,true,4.000,817.375,941.625,810.800,948.800,820.533,948.867,44.807,75.040,true,44.774,76.558,0,0,2048,1080,2048,1080,0.000,22,68.305
252482462.694,true,true,4.233,1251.625,921.625,1246.900,927.000,1256.375,927.667,44.742,78.404,true,true,4.150,816.813,941.688,810.533,948.867,819.647,949.000,44.826,75.272,true,44.784,76.838,0,0,2048,1080,2048,1080,0.000,22,68.297
252482479.329,true,true,4.355,1251.750,920.250,1247.000,927.000,1255.962,927.038,44.743,78.695,true,true,4.057,817.375,940.750,810.750,948.250,820.200,948.500,44.834,75.450,true,44.789,77.072,0,0,2048,1080,2048,1080,0.000,22,68.318
252482495.964,true,true,4.334,1251.313,919.688,1246.500,926.500,1255.615,926.615,44.729,78.956,true,true,4.090,817.063,940.688,810.467,948.133,819.864,948.318,44.842,75.608,true,44.785,77.282,0,0,2048,1080,2048,1080,0.000,22,68.300
252482512.599,true,true,4.342,1250.688,919.688,1246.313,926.875,1255.385,926.846,44.723,78.969,true,true,3.952,816.500,940.500,809.727,947.818,819.478,948.609,44.844,75.567,true,44.784,77.268,0,0,2048,1080,2048,1080,0.000,22,68.282
