Time,Left Found,Left Calibrated,Left Pupil Diameter (mm),Left Pupil Pos X,Left Pupil Pos Y,Left Glint1 Pos X,Left Glint1 Pos Y,Left Glint2 Pos X,Left Glint2 Pos Y,Left Gaze Point X (% Display Width),Left Gaze Point Y (% Display Height),Right Found,Right Calibrated,Right Pupil Diameter (mm),Right Pupil Pos X,Right Pupil Pos Y,Right Glint1 Pos X,Right Glint1 Pos Y,Right Glint2 Pos X,Right Glint2 Pos Y,Right Gaze Point X (% Display Width),Right Gaze Point Y (% Display Height),Weighted Gaze Point Valid,Weighted Gaze Point X (% Display Width),Weighted Gaze Point Y (% Display Height),ROI X,ROI Y,ROI Width,ROI Height,Image Width,Image Height,Image Scale Factor,Gain,Distance
252636719.504,false,true,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,true,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,0.000,0.000,0,0,2048,1080,2048,1080,0.000,25,67.316
252636736.139,false,true,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,true,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,0.000,0.000,0,0,2048,1080,2048,1080,0.000,25,67.291
252636752.774,false,true,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,true,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,0.000,0.000,0,0,2048,1080,2048,1080,0.000,25,67.267
252636769.409,false,true,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,true,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,0.000,0.000,0,0,2048,1080,2048,1080,0.000,29,67.243
252636786.044,false,true,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,true,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,0.000,0.000,0,0,2048,1080,2048,1080,0.000,29,67.205
252636802.679,false,true,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,true,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,0.000,0.000,0,0,2048,1080,2048,1080,0.000,29,67.177
252636819.314,false,true,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,true,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,0.000,0.000,0,0,2048,1080,2048,1080,0.000,31,67.124
252636835.949,false,true,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,true,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,0.000,0.000,0,0,2048,1080,2048,1080,0.000,31,67.085
252636852.584,false,true,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,true,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,0.000,0.000,0,0,2048,1080,2048,1080,0.000,31,67.075
252636869.219,false,true,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,true,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,0.000,0.000,0,0,2048,1080,2048,1080,0.000,32,67.066
252636885.854,false,true,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,true,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,0.000,0.000,0,0,2048,1080,2048,1080,0.000,32,67.054
252636902.489,false,true,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,true,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,0.000,0.000,0,0,2048,1080,2048,1080,0.000,32,67.070
252636919.124,false,true,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,true,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,0.000,0.000,0,0,2048,1080,2048,1080,0.000,32,67.086
252636935.759,false,true,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,true,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,0.000,0.000,0,0,2048,1080,2048,1080,0.000,32,67.135
252636952.394,false,true,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,true,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,0.000,0.000,0,0,2048,1080,2048,1080,0.000,32,67.160
252636969.029,false,true,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,true,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,0.000,0.000,0,0,2048,1080,2048,1080,0.000,32,67.184
252636985.664,false,true,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,true,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,0.000,0.000,0,0,2048,1080,2048,1080,0.000,32,67.272
252637002.299,false,true,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,true,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,0.000,0.000,0,0,2048,1080,2048,1080,0.000,32,67.340
252637018.934,false,true,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,true,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,0.000,0.000,0,0,2048,1080,2048,1080,0.000,32,67.347
252637035.570,false,true,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,true,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,0.000,0.000,0,0,2048,1080,2048,1080,0.000,32,67.277
252637052.205,false,true,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,true,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,0.000,0.000,0,0,2048,1080,2048,1080,0.000,32,67.144
252637068.840,false,true,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,true,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,0.000,0.000,0,0,2048,1080,2048,1080,0.000,32,67.066
252637085.475,false,true,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,true,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,0.000,0.000,0,0,2048,1080,2048,1080,0.000,32,66.994
252637102.110,false,true,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,true,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,false,0.000,0.000,0,0,2048,1080,2048,1080,0.000,32,67.049
252637118.745,false,true,0.000,0.000,0.000,0.000,0.000,0.000,0.000,6.796,9.544,true,true,4.315,838.750,890.250,832.500,890.692,841.636,890.182,7.481,3.379,true,7.139,6.462,0,0,2048,1080,2048,1080,0.000,33,67.483
252637135.380,true,true,4.504,1276.563,854.313,1271.833,857.750,1281.045,858.273,6.831,11.667,true,true,4.263,839.438,884.813,832.722,891.111,842.357,891.214,7.447,4.481,true,7.139,8.074,0,0,2048,1080,2048,1080,0.000,33,67.743
252637152.015,true,true,4.561,1277.000,851.750,1272.385,858.615,1281.444,858.389,6.964,46.018,true,true,4.359,839.500,881.750,833.208,891.792,842.500,891.250,7.327,24.784,true,7.146,35.401,0,0,2048,1080,2048,1080,0.000,33,68.100
252637168.650,true,true,4.561,1277.438,851.188,1272.900,859.000,1282.200,859.500,22.239,56.804,true,true,4.422,840.313,882.813,833.813,891.438,843.067,891.800,22.441,37.332,true,22.340,47.068,0,0,2048,1080,2048,1080,0.000,28,68.368
252637185.285,true,true,4.631,1278.188,851.188,1273.615,859.615,1282.625,859.313,27.743,60.423,true,true,4.479,841.000,883.125,834.762,892.381,844.000,892.353,28.300,41.543,true,28.021,50.983,0,0,2048,1080,2048,1080,0.000,28,68.479
252637201.920,true,true,4.605,1279.250,851.500,1274.500,860.000,1283.704,859.852,30.884,62.374,true,true,4.558,841.938,883.188,835.727,892.500,844.727,891.818,31.496,43.812,true,31.190,53.093,0,0,2048,1080,2048,1080,0.000,28,68.572
252637218.555,true,true,4.653,1279.813,852.063,1275.167,859.917,1284.364,860.364,33.107,60.682,true,true,4.473,842.813,883.188,836.500,892.500,845.700,892.000,33.794,44.614,true,33.450,52.648,0,0,2048,1080,2048,1080,0.000,24,68.571
252637235.190,true,true,4.587,1280.563,852.438,1276.000,860.500,1285.500,860.500,34.673,59.502,true,true,4.402,843.375,883.250,837.320,892.760,846.700,892.000,35.425,45.174,true,35.049,52.338,0,0,2048,1080,2048,1080,0.000,24,68.452
252637251.825,true,true,4.688,1281.375,852.375,1277.000,860.800,1286.000,860.333,35.972,58.307,true,true,4.388,844.188,883.313,837.952,892.333,847.500,892.500,36.821,45.633,true,36.397,51.970,0,0,2048,1080,2048,1080,0.000,24,68.435
252637268.460,true,true,4.767,1282.125,852.625,1277.643,860.714,1286.500,861.000,37.281,56.254,true,true,4.378,845.188,883.438,838.850,892.250,848.455,892.636,38.245,46.413,true,37.763,51.334,0,0,2048,1080,2048,1080,0.000,23,68.446
252637285.095,true,true,4.632,1282.688,852.813,1278.308,861.000,1287.609,861.478,38.209,54.799,true,true,4.421,846.063,883.938,839.526,892.316,849.111,892.722,39.255,46.966,true,38.732,50.882,0,0,2048,1080,2048,1080,0.000,23,68.378
252637301.730,true,true,4.580,1283.500,852.875,1278.900,861.000,1288.500,861.500,38.993,53.788,true,true,4.549,846.813,883.563,840.533,892.867,849.889,892.722,40.022,47.373,true,39.507,50.581,0,0,2048,1080,2048,1080,0.000,23,68.312
252637318.365,true,true,4.747,1284.000,853.375,1279.636,861.545,1288.864,861.682,39.576,53.262,true,true,4.572,847.313,884.063,841.429,893.000,850.533,892.867,40.609,47.657,true,40.092,50.459,0,0,2048,1080,2048,1080,0.000,23,68.346
252637335.000,true,true,4.725,1284.500,853.500,1280.357,861.786,1289.385,861.846,40.148,52.556,true,true,4.501,848.000,884.000,841.500,893.000,850.800,892.800,41.183,48.092,true,40.666,50.324,0,0,2048,1080,2048,1080,0.000,23,68.375
252637351.635,true,true,4.842,1281.625,856.000,1277.643,862.714,1287.071,862.571,40.649,51.968,true,true,4.609,845.375,885.375,840.235,894.235,849.588,894.118,41.662,48.508,true,41.156,50.238,0,0,2048,1080,2048,1080,0.000,23,68.344
252637368.270,true,true,4.798,1280.125,856.375,1277.588,863.118,1286.762,863.381,41.082,51.630,true,true,4.582,844.438,886.313,840.111,894.667,849.500,894.500,42.071,49.028,true,41.576,50.329,0,0,2048,1080,2048,1080,0.000,23,68.344
252637384.906,true,true,4.633,1280.438,856.188,1277.727,862.818,1287.200,863.500,41.502,51.612,true,true,4.533,844.688,885.938,840.500,894.500,849.600,894.560,42.480,49.465,true,41.991,50.539,0,0,2048,1080,2048,1080,0.000,23,68.343
252637401.541,true,true,4.620,1280.625,856.250,1278.211,863.368,1287.500,863.500,42.607,53.492,true,true,4.491,844.813,886.563,840.556,894.222,849.654,894.654,44.008,50.271,true,43.307,51.881,0,0,2048,1080,2048,1080,0.000,23,68.357
252637418.176,true,true,4.671,1280.875,856.500,1278.000,862.909,1287.238,863.381,44.720,55.969,true,true,4.477,844.813,886.813,840.375,894.125,849.563,894.375,46.114,51.093,true,45.417,53.531,0,0,2048,1080,2048,1080,0.000,23,68.370
252637434.811,true,true,4.585,1280.750,856.250,1277.833,862.750,1287.238,863.381,46.348,58.228,true,true,4.454,844.750,886.750,840.500,895.000,849.556,894.778,47.855,52.698,true,47.102,55.463,0,0,2048,1080,2048,1080,0.000,23,68.376
252637451.446,true,true,4.509,1280.688,856.313,1277.769,862.692,1287.467,863.133,47.666,60.214,true,true,4.332,844.563,886.813,840.455,895.364,849.615,895.154,49.191,53.919,true,48.428,57.066,0,0,2048,1080,2048,1080,0.000,23,68.351
252637468.081,true,true,4.650,1280.625,856.250,1277.769,862.692,1286.769,862.692,48.607,61.633,true,true,4.213,844.375,887.125,839.700,895.200,849.320,895.240,50.145,55.089,true,49.376,58.361,0,0,2048,1080,2048,1080,0.000,23,68.346
252637484.716,true,true,4.624,1278.813,855.063,1276.500,862.000,1285.385,861.885,49.318,62.705,true,true,4.263,843.000,886.000,839.455,894.636,848.500,894.500,50.866,55.715,true,50.092,59.210,0,0,2048,1080,2048,1080,0.000,23,68.397
252637501.351,true,true,4.603,1277.000,853.750,1275.467,861.133,1284.353,860.765,49.877,63.547,true,true,4.239,842.000,884.375,838.818,893.818,847.794,894.088,51.433,56.206,true,50.655,59.877,0,0,2048,1080,2048,1080,0.000,23,68.448
252637517.986,true,true,4.467,1276.250,852.750,1274.800,860.800,1283.933,860.400,50.327,64.225,true,true,3.493,841.375,883.750,835.000,898.000,847.353,893.765,51.883,56.335,true,51.105,60.280,0,0,2048,1080,2048,1080,0.000,23,68.248
252637534.621,true,true,4.479,1276.313,852.313,1274.727,859.818,1283.692,860.769,50.760,64.181,true,true,4.186,840.875,884.125,837.875,893.875,846.563,893.375,52.253,56.346,true,51.506,60.264,0,0,2048,1080,2048,1080,0.000,23,68.312
252637551.256,true,true,4.514,1276.125,852.625,1274.467,860.133,1283.407,859.963,51.924,63.395,true,true,3.989,840.375,883.375,836.833,892.750,846.238,893.619,53.213,56.118,true,52.569,59.757,0,0,2048,1080,2048,1080,0.000,23,68.326
252637567.891,true,true,4.382,1275.813,851.438,1274.111,859.278,1283.200,859.500,53.232,62.075,true,true,4.048,840.000,883.500,836.500,893.000,845.842,893.158,54.388,54.251,true,53.810,58.163,0,0,2048,1080,2048,1080,0.000,23,68.334
252637584.526,true,true,4.345,1275.500,851.250,1273.947,858.368,1283.269,859.000,54.325,60.998,true,true,4.153,839.688,882.438,837.000,893.000,845.593,892.741,55.369,52.449,true,54.847,56.723,0,0,2048,1080,2048,1080,0.000,23,68.375
252637601.161,true,true,4.392,1275.500,850.625,1273.682,858.273,1282.826,858.565,55.317,59.536,true,true,3.980,839.625,882.375,836.000,892.286,845.478,892.609,56.259,50.288,true,55.788,54.912,0,0,2048,1080,2048,1080,0.000,22,68.370
252637617.796,true,true,4.396,1275.500,850.500,1273.722,858.111,1282.696,858.043,55.842,58.737,true,true,3.739,839.375,882.500,834.618,893.912,844.833,891.750,56.731,49.446,true,56.286,54.092,0,0,2048,1080,2048,1080,0.000,22,68.321
252637634.431,true,true,4.349,1275.375,850.375,1273.500,858.000,1282.667,857.958,56.241,58.198,true,true,3.763,839.125,882.250,834.676,893.971,844.727,891.818,57.108,48.773,true,56.674,53.486,0,0,2048,1080,2048,1080,0.000,22,68.293
252637651.066,true,true,4.412,1275.438,850.563,1273.750,858.250,1282.727,858.500,56.570,57.751,true,true,4.001,839.313,882.813,835.850,892.250,844.952,892.333,57.407,48.214,true,56.989,52.983,0,0,2048,1080,2048,1080,0.000,22,68.309
252637667.701,true,true,4.378,1275.563,851.188,1273.667,858.000,1282.760,858.680,56.805,57.392,true,true,3.911,839.188,883.063,835.706,892.412,845.063,892.500,57.648,47.780,true,57.226,52.586,0,0,2048,1080,2048,1080,0.000,22,68.314
252637684.336,true,true,4.320,1275.625,851.125,1273.727,857.818,1283.000,858.708,57.001,57.233,true,true,3.971,839.188,883.313,835.563,892.375,844.800,892.800,57.844,47.409,true,57.423,52.321,0,0,2048,1080,2048,1080,0.000,22,68.297
252637700.971,true,true,4.255,1275.750,851.250,1273.727,857.818,1283.087,858.783,57.097,57.152,true,true,3.945,839.250,883.375,835.667,892.400,844.929,892.857,57.940,47.386,true,57.518,52.269,0,0,2048,1080,2048,1080,0.000,22,68.267
252637717.607,true,true,4.218,1275.750,851.125,1273.727,857.818,1283.087,858.783,57.226,57.378,true,true,3.840,839.063,883.188,835.412,892.529,844.929,892.857,58.074,47.357,true,57.650,52.368,0,0,2048,1080,2048,1080,0.000,22,68.237
252637734.242,true,true,4.181,1275.875,851.000,1273.727,857.818,1283.087,858.783,57.365,57.724,true,true,3.934,838.938,883.063,835.438,892.625,844.500,893.000,58.227,47.320,true,57.796,52.522,0,0,2048,1080,2048,1080,0.000,22,68.264
252637750.877,true,true,4.248,1275.750,851.250,1273.818,858.182,1283.087,858.783,57.489,58.032,true,true,3.927,838.875,883.375,835.500,893.000,844.500,893.000,58.373,47.287,true,57.931,52.659,0,0,2048,1080,2048,1080,0.000,22,68.282
252637767.512,true,true,4.227,1275.875,851.250,1274.000,858.647,1283.208,858.792,57.599,58.306,true,true,3.902,838.813,883.313,835.467,893.133,844.500,893.000,58.502,47.257,true,58.050,52.781,0,0,2048,1080,2048,1080,0.000,22,68.294
252637784.147,true,true,4.174,1275.875,851.000,1274.000,858.647,1283.280,858.880,57.709,58.577,true,true,3.902,838.813,883.688,835.467,893.133,844.500,893.000,58.631,46.949,true,58.170,52.763,0,0,2048,1080,2048,1080,0.000,22,68.329
252637800.782,true,true,4.233,1274.625,850.500,1273.167,858.000,1282.355,858.258,57.833,58.839,true,true,3.887,837.938,882.688,834.714,892.500,844.000,892.353,58.797,46.503,true,58.315,52.671,0,0,2048,1080,2048,1080,0.000,22,68.359
