Timestamp;Data
884746.338038673;237
884746.345716707;592
884746.353394742;893
884746.361072776;647
884746.368750811;658
884746.376428845;802
884746.38410688;751
884746.391784914;723
884746.399462949;787
884746.407140983;830
884746.414819018;812
884746.422497052;792
884746.430175087;799
884746.437853121;766
884746.445531155;718
884746.45320919;711
884746.460887224;635
884746.468565259;523
884746.476243293;528
884746.483921328;539
884746.491599362;458
884746.499277397;402
884746.506955431;404
884746.514633466;394
884746.5223115;366
884746.529989535;374
884746.537667569;427
884746.545345604;493
884746.553023638;559
884746.560701672;599
884746.568379707;622
884746.576057741;640
884746.583735776;640
884746.59141381;637
884746.599091845;650
884746.606769879;607
884746.614447914;549
884746.622125948;556
884746.629803983;561
884746.637482017;501
884746.645160052;303
884746.652838086;571
884746.660516121;3229
884746.668194155;7400
884746.675872189;8855
884746.683550224;5552
884746.691228258;2672
884746.698906293;2417
884746.706584327;1637
884746.714262362;359
884746.721940396;10
884746.729618431;192
884746.737296465;518
884746.7449745;516
884746.752652534;336
884746.760330568;313
884746.768008603;280
884746.775686637;70
884746.783364672;50
884746.791042706;78
884746.798720741;199
884746.806398775;215
884746.81407681;311
884746.821754844;463
884746.829432879;534
884746.837110913;561
884746.844788948;625
884746.852466982;701
884746.860145017;741
884746.867823051;792
884746.875501086;830
884746.88317912;635
884746.890857154;172
884746.898535189;194
884746.906213223;10
884746.913891258;731
884746.921569292;1121
884746.929247327;825
884746.936925361;706
884746.944603396;855
884746.95228143;817
884746.959959465;744
884746.967637499;766
884746.975315533;769
884746.982993568;756
884746.990671602;746
884746.998349637;701
884747.006027672;645
884747.013705706;627
884747.02138374;607
884747.029061775;569
884747.036739809;534
884747.044417844;498
884747.052095878;473
884747.059773913;447
884747.067451947;387
884747.075129982;356
884747.082808016;372
884747.09048605;336
884747.098164085;253
884747.105842119;134
884747.113520154;1531
884747.121198188;3001
884747.128876223;2293
884747.136554257;526
884747.144232292;202
884747.151910326;432
884747.159588361;65
884747.167266395;167
884747.17494443;179
884747.182622464;379
884747.190300499;508
884747.197978533;453
884747.205656567;425
884747.213334602;399
884747.221012636;285
884747.228690671;126
884747.236368705;25
884747.24404674;151
884747.251724774;215
884747.259402809;220
884747.267080843;212
884747.274758878;154
884747.282436912;27
884747.290114947;108
884747.297792981;220
884747.305471016;306
884747.31314905;366
884747.320827085;410
884747.328505119;465
884747.336183153;521
884747.343861188;556
884747.351539222;589
884747.359217257;554
884747.366895291;298
884747.374573326;124
884747.38225136;387
