,Timestamp,Data
0,1128088.7583528894,[-72.]
1,1128088.766026158,[-72.]
2,1128088.7736994263,[-75.]
3,1128088.7813726948,[-70.]
4,1128088.7890459632,[-70.]
5,1128088.7967192316,[-72.]
6,1128088.8043925,[-65.]
7,1128088.8120657685,[-58.]
8,1128088.819739037,[-62.]
9,1128088.8274123054,[-77.]
10,1128088.8350855738,[-92.]
11,1128088.8427588423,[-89.]
12,1128088.8504321107,[-82.]
13,1128088.8581053792,[-79.]
14,1128088.8657786476,[-77.]
15,1128088.873451916,[-77.]
16,1128088.8811251845,[-79.]
17,1128088.888798453,[-75.]
18,1128088.8964717214,[-70.]
19,1128088.9041449898,[-72.]
20,1128088.9118182582,[-72.]
21,1128088.9194915267,[-70.]
22,1128088.927164795,[-62.]
23,1128088.9348380635,[-41.]
24,1128088.942511332,[-24.]
25,1128088.9501846004,[-36.]
26,1128088.9578578689,[-50.]
27,1128088.9655311373,[-50.]
28,1128088.9732044057,[-50.]
29,1128088.9808776742,[-50.]
30,1128088.9885509426,[-43.]
31,1128088.996224211,[-36.]
32,1128089.0038974795,[-38.]
33,1128089.011570748,[-38.]
34,1128089.0192440164,[-12.]
35,1128089.0269172848,[82.]
36,1128089.0345905533,[249.]
37,1128089.0422638217,[317.]
38,1128089.0499370901,[50.]
39,1128089.0576103586,[-322.]
40,1128089.065283627,[-305.]
41,1128089.0729568955,[-70.]
42,1128089.080630164,[-31.]
43,1128089.0883034323,[-75.]
44,1128089.0959767008,[-41.]
45,1128089.1036499692,[-24.]
46,1128089.1113232377,[-41.]
47,1128089.118996506,[-38.]
48,1128089.1266697745,[-33.]
49,1128089.134343043,[-33.]
50,1128089.1420163114,[-31.]
51,1128089.1496895798,[-29.]
52,1128089.1573628483,[-26.]
53,1128089.1650361167,[-16.]
54,1128089.1727093854,[-9.]
55,1128089.1803826538,[-12.]
56,1128089.1880559223,[-12.]
57,1128089.1957291907,[-7.]
58,1128089.2034024592,[-2.]
59,1128089.2110757276,[7.]
60,1128089.218748996,[9.]
61,1128089.2264222645,[12.]
62,1128089.234095533,[16.]
63,1128089.2417688014,[21.]
64,1128089.2494420698,[24.]
65,1128089.2571153382,[33.]
66,1128089.2647886067,[48.]
67,1128089.272461875,[53.]
68,1128089.2801351435,[50.]
69,1128089.287808412,[53.]
70,1128089.2954816804,[53.]
71,1128089.3031549489,[46.]
72,1128089.3108282173,[36.]
73,1128089.3185014857,[29.]
74,1128089.3261747542,[14.]
75,1128089.3338480226,[-2.]
76,1128089.341521291,[-14.]
77,1128089.3491945595,[-26.]
78,1128089.356867828,[-43.]
79,1128089.3645410964,[-58.]
80,1128089.3722143648,[-65.]
81,1128089.3798876333,[-65.]
82,1128089.3875609017,[-65.]
83,1128089.3952341701,[-65.]
84,1128089.4029074386,[-65.]
85,1128089.410580707,[-77.]
86,1128089.4182539755,[-94.]
87,1128089.425927244,[-96.]
88,1128089.4336005123,[-89.]
89,1128089.4412737808,[-87.]
90,1128089.4489470492,[-84.]
91,1128089.4566203177,[-77.]
92,1128089.464293586,[-75.]
93,1128089.4719668545,[-75.]
94,1128089.479640123,[-70.]
95,1128089.4873133914,[-65.]
96,1128089.4949866598,[-60.]
97,1128089.5026599283,[-60.]
98,1128089.5103331967,[-60.]
99,1128089.5180064652,[-62.]
100,1128089.5256797336,[-65.]
101,1128089.533353002,[-60.]
102,1128089.5410262705,[-60.]
103,1128089.548699539,[-62.]
104,1128089.5563728074,[-65.]
105,1128089.5640460758,[-65.]
106,1128089.5717193442,[-62.]
107,1128089.5793926127,[-58.]
108,1128089.5870658811,[-55.]
109,1128089.5947391496,[-55.]
110,1128089.602412418,[-58.]
111,1128089.6100856864,[-58.]
112,1128089.6177589549,[-55.]
113,1128089.6254322233,[-53.]
114,1128089.6331054918,[-50.]
115,1128089.6407787602,[-50.]
116,1128089.6484520286,[-50.]
117,1128089.656125297,[-50.]
118,1128089.6637985655,[-50.]
119,1128089.671471834,[-48.]
120,1128089.6791451024,[-48.]
121,1128089.6868183708,[-46.]
122,1128089.6944916393,[-43.]
123,1128089.7021649077,[-43.]
124,1128089.7098381761,[-38.]
125,1128089.7175114446,[-33.]
126,1128089.725184713,[-33.]
127,1128089.7328579815,[-36.]
128,1128089.74053125,[-38.]
129,1128089.7482045183,[-41.]
130,1128089.7558777868,[-36.]
131,1128089.7635510552,[-31.]
132,1128089.7712243237,[-29.]
133,1128089.778897592,[-19.]
134,1128089.7865708605,[-12.]
135,1128089.794244129,[-19.]
136,1128089.8019173974,[-26.]
