,Timestamp,Data
0,102812.54138763328,[-134.]
1,102812.5490647335,[-132.]
2,102812.55674183372,[-129.]
3,102812.56441893392,[-119.]
4,102812.57209603414,[-117.]
5,102812.57977313436,[-110.]
6,102812.58745023458,[-102.]
7,102812.5951273348,[-97.]
8,102812.60280443502,[-92.]
9,102812.61048153523,[-90.]
10,102812.61815863545,[-90.]
11,102812.62583573567,[-83.]
12,102812.63351283589,[-73.]
13,102812.64118993611,[-80.]
14,102812.64886703632,[-83.]
15,102812.65654413654,[-73.]
16,102812.66422123676,[-80.]
17,102812.67189833698,[-88.]
18,102812.6795754372,[-75.]
19,102812.68725253742,[-68.]
20,102812.69492963763,[-78.]
21,102812.70260673785,[-83.]
22,102812.71028383807,[-68.]
23,102812.71796093829,[-73.]
24,102812.72563803851,[-85.]
25,102812.73331513873,[-73.]
26,102812.74099223893,[-63.]
27,102812.74866933915,[-70.]
28,102812.75634643938,[-70.]
29,102812.7640235396,[-66.]
30,102812.77170063982,[-51.]
31,102812.77937774002,[-29.]
32,102812.78705484024,[-24.]
33,102812.79473194046,[-48.]
34,102812.80240904068,[-66.]
35,102812.8100861409,[-61.]
36,102812.81776324112,[-63.]
37,102812.82544034133,[-66.]
38,102812.83311744155,[-58.]
39,102812.84079454177,[-68.]
40,102812.84847164199,[-73.]
41,102812.85614874221,[-63.]
42,102812.86382584242,[-63.]
43,102812.87150294264,[-58.]
44,102812.87918004286,[-51.]
45,102812.88685714308,[-51.]
46,102812.8945342433,[-51.]
47,102812.90221134352,[-46.]
48,102812.90988844373,[-51.]
49,102812.91756554395,[-85.]
50,102812.92524264417,[-34.]
51,102812.93291974439,[293.]
52,102812.94059684461,[802.]
53,102812.94827394483,[997.]
54,102812.95595104503,[471.]
55,102812.96362814525,[-212.]
56,102812.97130524548,[-198.]
57,102812.9789823457,[44.]
58,102812.98665944592,[-58.]
59,102812.99433654612,[-119.]
60,102813.00201364634,[-39.]
61,102813.00969074656,[-39.]
62,102813.01736784678,[-56.]
63,102813.025044947,[-22.]
64,102813.03272204722,[-12.]
65,102813.04039914743,[-14.]
66,102813.04807624765,[9.]
67,102813.05575334787,[26.]
68,102813.06343044809,[36.]
69,102813.07110754831,[61.]
70,102813.07878464852,[83.]
71,102813.08646174874,[102.]
72,102813.09413884896,[127.]
73,102813.10181594918,[158.]
74,102813.1094930494,[193.]
75,102813.11717014962,[224.]
76,102813.12484724983,[249.]
77,102813.13252435005,[271.]
78,102813.14020145027,[293.]
79,102813.14787855049,[295.]
80,102813.15555565071,[271.]
81,102813.16323275093,[222.]
82,102813.17090985113,[151.]
83,102813.17858695136,[61.]
